gene	seqnames	start	end	width	strand	CI.start	CI.end	genoT	filenames	freq	n()	alleleFreq
BLM	chr4	108740661	108801153	60493	*	107685021	110079010	cc-ww	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr5	25968170	26171264	203095	*	24150990	27829011	cc-ww	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	77252201	77573646	321446	*	77079306	77820807	wc-cc	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	21	76	27.63
BLM	chr9	130790954	130834025	43072	*	130081981	131058900	wc-cc	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	31	76	40.79
BLM	chr12	54033307	54147633	114327	*	53226409	54867013	ww-cc	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	72579039	72684835	105797	*	72518587	72896111	cc-wc	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74820632	74910294	89663	*	73342822	75008707	wc-cc	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	7	76	9.21
BLM	chr22	23259671	23436650	176980	*	22163103	24318440	cc-ww	blm-1-single-c10-w11_.trimmed.mdup.bam.RData	27	76	35.53
BLM	chr5	57456621	57483858	27238	*	56805810	57990047	ww-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr5	162757673	162798558	40886	*	162000276	163479792	cc-ww	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	94812709	94870239	57531	*	94439195	95588057	cc-ww	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr7	40755061	40776037	20977	*	40162790	41248411	cc-ww	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	81923592	81924933	1342	*	81870758	81986770	ww-wc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	136051928	136057357	5430	*	135987514	136107142	wc-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	130801327	130825582	24256	*	130311125	130907147	cc-ww	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	31	76	40.79
BLM	chr11	21252904	21265606	12703	*	20667087	21890632	ww-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr12	53496192	53503619	7428	*	52891685	54055395	ww-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	63506767	63533441	26675	*	63445798	63738608	cc-wc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	72571934	72677915	105982	*	72535372	72748420	wc-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74359038	74424732	65695	*	74294236	74459056	cc-wc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	41	76	53.95
BLM	chr15	89041892	89071684	29793	*	89031017	89112457	wc-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	19	76	25
BLM	chr16	78364530	78372193	7664	*	77921891	78436621	ww-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr21	14147806	14156329	8524	*	10469372	14236974	wc-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	6	76	7.89
BLM	chr22	23289324	23293730	4407	*	22654385	23832624	ww-cc	blm-1-single-c10-w15_.trimmed.mdup.bam.RData	27	76	35.53
BLM	chr2	56877205	56952279	75075	*	56559520	57615350	ww-cc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr5	96170701	96191708	21008	*	95947468	96893460	ww-cc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	4932087	4954385	22299	*	4473806	5497363	ww-cc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	68572559	68579632	7074	*	62729163	68727656	wc-ww	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	12	76	15.79
BLM	chr13	50295710	50365706	69997	*	49864727	50915966	cc-ww	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	60799075	60827465	28391	*	60741347	60904515	ww-wc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr15	72572290	72580112	7823	*	72523747	72620190	wc-ww	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74104549	74106640	2092	*	74049559	74182962	ww-wc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	40	76	52.63
BLM	chr15	89346773	89377425	30653	*	89325378	89455796	wc-ww	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	19	76	25
BLM	chr16	9584309	9707329	123021	*	9260706	10145161	ww-cc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chrX	37710944	37726430	15487	*	36981009	38157936	ww-cc	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chrX	131982267	132057087	74821	*	131454090	132470042	cc-ww	blm-1-single-c10-w19_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	96077673	96222611	144939	*	95112795	96988216	ww-cc	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	5563532	5565457	1926	*	5482710	5581070	cc-wc	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr8	31939867	31966946	27080	*	31488374	32203912	wc-ww	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	130761152	130831287	70136	*	130345132	131413599	cc-ww	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	31	76	40.79
BLM	chr11	125061239	125078011	16773	*	124917371	125154415	cc-wc	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	8	76	10.53
BLM	chr12	59639394	60412329	772936	*	59489551	63872806	cc-wc	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr15	72048361	72675927	627567	*	71976401	72734984	ww-wc	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74371212	74516534	145323	*	73768689	74545579	wc-ww	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	41	76	53.95
BLM	chr18	37909536	37927581	18046	*	37522917	38566504	cc-ww	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr21	15502257	15505475	3219	*	9746903	15697193	wc-ww	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	9	76	11.84
BLM	chr22	23256131	23290420	34290	*	22620627	24180946	ww-cc	blm-1-single-c10-w30_.trimmed.mdup.bam.RData	27	76	35.53
BLM	chr3	47336193	47380824	44632	*	47063258	47870132	cc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr3	180368299	180395614	27316	*	180085841	181114473	ww-cc	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	105012572	105038431	25860	*	104548608	105399558	ww-cc	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	6679285	7120451	441167	*	6662608	7360606	ww-wc	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr8	7861474	8324566	463093	*	7367246	8388437	wc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	4	76	5.26
BLM	chr9	134430918	134469007	38090	*	134339560	134858214	cc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr12	30633082	30652643	19562	*	30516392	31037715	cc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr14	39075073	39114624	39552	*	38865680	39150837	cc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	40957607	40983401	25795	*	40902692	41278567	ww-wc	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr19	14359096	14397611	38516	*	14255942	14820835	cc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr21	14036422	14942326	905905	*	10755707	15029813	wc-ww	blm-1-single-c10-w31_.trimmed.mdup.bam.RData	13	76	17.11
BLM	chr6	50064401	50068597	4197	*	49983692	50200093	wc-ww	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr7	23157240	23224946	67707	*	22969420	23474781	ww-wc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	19865672	19872007	6336	*	19796537	19967610	wc-cc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr9	19991354	20005515	14162	*	19420954	20191417	cc-wc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr9	20188977	20208903	19927	*	20099791	20263715	wc-cc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr13	40970301	40974005	3705	*	40875572	41099930	ww-wc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr14	82537859	82589953	52095	*	81935384	83162552	cc-ww	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr15	72201289	72531456	330168	*	72164577	72826605	cc-wc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74250594	74431780	181187	*	73679133	74485578	wc-cc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	41	76	53.95
BLM	chr17	34242738	34319706	76969	*	33602778	34796876	ww-cc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr20	25388620	25538588	149969	*	25327436	29042830	ww-wc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr21	14707136	14718598	11463	*	10381094	14824722	wc-cc	blm-1-single-c10-w33_.trimmed.mdup.bam.RData	10	76	13.16
BLM	chr1	9748143	9766200	18058	*	9607539	10089305	cc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	28537082	28544457	7376	*	28192082	28679829	ww-cc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	66456036	66560853	104818	*	66276868	66926461	cc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	167373292	167396284	22993	*	166939705	167845163	ww-cc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr3	15503568	15525467	21900	*	15088894	15700616	ww-cc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr4	58807534	58941105	133572	*	58475642	59135601	cc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr4	160702636	160818473	115838	*	160253957	161424142	ww-cc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr5	95097587	95148949	51363	*	94489361	95723625	ww-cc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr7	128705173	128718233	13061	*	128624152	129108890	cc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	2653593	2660606	7014	*	2565636	2793074	wc-cc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	57646497	57650084	3588	*	57589787	57705080	cc-wc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr8	61819932	61854095	34164	*	61781848	61889173	wc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	35666783	35709131	42349	*	35280969	35990770	cc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr11	134047673	134065712	18040	*	134030040	134340090	ww-wc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr15	60787071	60818407	31337	*	60729467	60869619	ww-wc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr15	72630898	72665972	35075	*	72578054	72690109	wc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	42	76	55.26
BLM	chr15	74123325	74123443	119	*	74105992	74150041	ww-wc	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	40	76	52.63
BLM	chr15	89349474	89357197	7724	*	89324758	89413043	wc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	19	76	25
BLM	chrX	109284539	109302239	17701	*	108761042	109799086	cc-ww	blm-1-single-c10-w34_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr2	113780429	113836852	56424	*	113445346	114795742	ww-cc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr3	142295008	142358189	63182	*	141768628	143574323	cc-ww	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr3	183165824	183170570	4747	*	183002479	183900131	ww-cc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	72103240	72182764	79525	*	71893216	72363107	wc-cc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	5	76	6.58
BLM	chr12	60291043	60419164	128122	*	60181754	60778267	cc-wc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	3	76	3.95
BLM	chr13	45039917	45061959	22043	*	44854208	45322639	ww-cc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr15	60822230	60841354	19125	*	60674234	60934694	ww-wc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	22	76	28.95
BLM	chr20	4659942	4680952	21011	*	4063156	4776072	ww-cc	blm-1-single-c10-w37_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	105057678	105111445	53768	*	104093635	105918322	ww-cc	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	75270724	76147487	876764	*	75109498	76216000	ww-wc	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	12	76	15.79
BLM	chr8	77553275	79441151	1887877	*	76996187	79562936	wc-ww	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	21	76	27.63
BLM	chr9	121941531	121956248	14718	*	121727229	122809463	cc-ww	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr9	130801216	130827527	26312	*	130530435	131236907	ww-cc	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	31	76	40.79
BLM	chr11	102219914	104223503	2003590	*	98773214	107104641	cc-ww	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr16	69002676	69031325	28650	*	68031693	69628967	ww-cc	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr17	30360523	30409684	49162	*	29531912	30879090	ww-cc	blm-1-single-c10-w38_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	74256277	74287554	31278	*	73914392	74751811	ww-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr1	110514302	110547447	33146	*	110222005	110909670	cc-ww	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	2	76	2.63
BLM	chr1	193749117	193786894	37778	*	193363148	194238612	ww-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr3	84377262	84436279	59018	*	83895397	84842416	ww-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr5	63970623	63997268	26646	*	63570544	64386729	ww-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr6	64199062	64216101	17040	*	63883764	64621906	cc-ww	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	1	76	1.32
BLM	chr8	72121487	72153864	32378	*	72018317	72196955	wc-cc	blm-1-single-c10-w41_.trimmed.mdup.bam.RData	5	76	6.58
