chr	start	end	count	width	n	perc	BLM	RECQL5	BLM_RECQL5	WT
chr1	122217573.873418	122599499.867089	1	381926.993670886	150	47.32	0.52	0.4	0.50354609929078	0.4
chr1	147721929.022883	148147026.78032	2	425098.757437071	269	84.86	0.826666666666667	0.866666666666667	0.815602836879433	0.963636363636364
chr2	91160440.4709677	91430869.7806452	4	270430.309677419	79	24.92	0.186666666666667	0.244444444444444	0.212765957446809	0.436363636363636
chr2	109969229.16	110422101.4	5	452873.24	27	8.52	0.0933333333333333	0.0444444444444444	0.0851063829787234	0.109090909090909
chr3	91872240.4100719	92480947.9496403	7	608708.539568345	74	23.34	0.146666666666667	0.133333333333333	0.24822695035461	0.4
chr4	49282938.0138889	50199910.75	9	916973.736111111	42	13.25	0.12	0.111111111111111	0.156028368794326	0.109090909090909
chr5	48076328.076087	48718806.4565217	11	642479.380434783	48	15.14	0.12	0.222222222222222	0.127659574468085	0.2
chr5	48076328.076087	48718806.4565217	13	642479.380434783	48	15.14	0.12	0.222222222222222	0.127659574468085	0.2
chr7	57407096.9074074	57711164.787037	15	304068.87962963	101	31.86	0.253333333333333	0.244444444444444	0.24113475177305	0.672727272727273
chr7	64186067.0636704	64418415.011236	16	232348.947565543	118	37.22	0.306666666666667	0.266666666666667	0.297872340425532	0.745454545454545
chr7	70236084.5454545	70428600.3636364	17	192516.818181818	31	9.78	0.04	0.0222222222222222	0.184397163120567	0.0181818181818182
chr8	6866825.09433962	7022725.88679245	19	155901.79245283	35	11.04	0.0666666666666667	0.0444444444444444	0.148936170212766	0.127272727272727
chr8	76099840.8703704	76221892.1851852	20	122052.314814815	43	13.56	0.32	0.0222222222222222	0.113475177304965	0.0363636363636364
chr9	39048134.683871	39367412.283871	22	319278.6	151	47.63	0.413333333333333	0.511111111111111	0.411347517730496	0.709090909090909
chr9	66192611.64	66722104.5142857	23	529493.874285714	167	52.68	0.426666666666667	0.555555555555556	0.48936170212766	0.745454545454545
chr9	130744154.416667	130819193.262821	24	75039.8461538462	153	48.26	0.413333333333333	0.555555555555556	0.51063829787234	0.454545454545455
chr10	46329616.5625	46856149.96875	26	526534.40625	17	5.36	0.0533333333333333	0.0444444444444444	0.0425531914893617	0.0909090909090909
chr11	49898617.3984962	50754015.1052632	28	855398.706766917	69	21.77	0.106666666666667	0.244444444444444	0.219858156028369	0.345454545454545
chr11	107458052.9	107508220	29	50168.1	20	6.31	0.266666666666667	0	0	0
chr12	63203576.1033708	63506759.1168539	31	303184.013483146	225	70.98	0.546666666666667	0.688888888888889	0.695035460992908	1
chr13	19015432.1078431	19054624.4117647	33	39193.3039215686	100	31.55	0.226666666666667	0.355555555555556	0.24113475177305	0.6
chr14	20238335.7580645	20266761.8870968	35	28427.1290322581	62	19.56	0.133333333333333	0.266666666666667	0.163120567375887	0.309090909090909
chr15	22175074.2137405	22279285.6412214	37	104212.427480916	124	39.12	0.24	0.466666666666667	0.347517730496454	0.654545454545455
chr15	60807916.1825397	60833555.4761905	38	25640.2936507937	125	39.43	0.306666666666667	0.488888888888889	0.361702127659574	0.527272727272727
chr15	73340387.0657277	73404442.7676056	39	64056.7018779343	213	67.19	0.56	0.755555555555556	0.617021276595745	0.909090909090909
chr15	89258621.5263158	89286561.6403509	40	27941.1140350877	108	34.07	0.253333333333333	0.422222222222222	0.290780141843972	0.527272727272727
chr16	22029760.5679012	22136118.5967078	42	106359.028806584	118	37.22	0.253333333333333	0.311111111111111	0.368794326241135	0.6
chr16	33770425.8626609	34105004.5708155	43	334579.708154506	230	72.56	0.64	0.733333333333333	0.680851063829787	0.963636363636364
chr16	46431268.3670886	46523088.721519	44	91821.3544303798	236	74.45	0.64	0.8	0.702127659574468	0.963636363636364
chr17	26917189.6243386	27111767.2116402	46	194578.587301587	98	30.91	0.226666666666667	0.333333333333333	0.226950354609929	0.618181818181818
chr17	26917189.6243386	27111767.2116402	48	194578.587301587	98	30.91	0.226666666666667	0.333333333333333	0.226950354609929	0.618181818181818
chr19	3614302.10714286	3650253.57142857	50	35952.4642857143	28	8.83	0.04	0.0222222222222222	0.170212765957447	0
chr19	24946132.2424242	26207226.5909091	51	1261095.34848485	43	13.56	0.0933333333333333	0.222222222222222	0.134751773049645	0.127272727272727
chr20	28666158.7634409	29183163.0295699	53	517005.266129032	173	54.57	0.346666666666667	0.6	0.524822695035461	0.836363636363636
chr21	12285201.0759494	12760778.6540084	55	475578.578059072	195	61.51	0.546666666666667	0.688888888888889	0.51063829787234	0.927272727272727
chr22	16155539.3220339	16274947.6271186	57	119409.305084746	58	18.3	0.08	0.222222222222222	0.134751773049645	0.418181818181818
chr22	23325300.5804196	23350843.8671329	58	25544.2867132867	139	43.85	0.373333333333333	0.511111111111111	0.453900709219858	0.436363636363636
chrX	104046071.058824	104294098.647059	60	248028.588235294	20	6.31	0.0666666666666667	0.0222222222222222	0.0851063829787234	0.0363636363636364
chrX	152293306.241935	152569899.33871	61	276594.096774194	32	10.09	0.0533333333333333	0.177777777777778	0.106382978723404	0.0909090909090909
