mp	ds	type	p	chr
-1605006.5	1.98939217941834e-11	BREAKPOINTS	0.999140625	chrX
-1295548.2035225	4.56498502842607e-11	BREAKPOINTS	0.99583984375	chrX
-986089.90704501	9.57568232071552e-11	BREAKPOINTS	0.9924609375	chrX
-676631.610567515	1.83829030841595e-10	BREAKPOINTS	0.98927734375	chrX
-367173.31409002	3.23186103580739e-10	BREAKPOINTS	0.98599609375	chrX
-57715.0176125243	5.20369953614448e-10	BREAKPOINTS	0.98251953125	chrX
251743.278864971	7.66956782239297e-10	BREAKPOINTS	0.97880859375	chrX
561201.575342466	1.03249651943464e-09	BREAKPOINTS	0.97484375	chrX
870659.871819961	1.2646511230773e-09	BREAKPOINTS	0.97056640625	chrX
1180118.16829746	1.41172051750883e-09	BREAKPOINTS	0.96744140625	chrX
1489576.46477495	1.44071050640459e-09	BREAKPOINTS	0.96689453125	chrX
1799034.76125245	1.35205571133512e-09	BREAKPOINTS	0.9690234375	chrX
2108493.05772994	1.18183318944457e-09	BREAKPOINTS	0.97197265625	chrX
2417951.35420744	9.9019884186593e-10	BREAKPOINTS	0.975625	chrX
2727409.65068493	8.41643628129739e-10	BREAKPOINTS	0.97771484375	chrX
3036867.94716243	7.85096797670893e-10	BREAKPOINTS	0.97849609375	chrX
3346326.24363992	8.40245368243331e-10	BREAKPOINTS	0.97775390625	chrX
3655784.54011742	9.93444794091061e-10	BREAKPOINTS	0.9755859375	chrX
3965242.83659491	1.20427694353411e-09	BREAKPOINTS	0.97166015625	chrX
4274701.13307241	1.42174906170074e-09	BREAKPOINTS	0.9673046875	chrX
4584159.4295499	1.60593514542981e-09	BREAKPOINTS	0.9630859375	chrX
4893617.7260274	1.74685917923048e-09	BREAKPOINTS	0.958828125	chrX
5203076.02250489	1.87054905338545e-09	BREAKPOINTS	0.9546875	chrX
5512534.31898239	2.02590828937225e-09	BREAKPOINTS	0.94904296875	chrX
5821992.61545988	2.25571446812111e-09	BREAKPOINTS	0.93900390625	chrX
6131450.91193738	2.56595030895878e-09	BREAKPOINTS	0.9227734375	chrX
6440909.20841487	2.91207047131948e-09	BREAKPOINTS	0.9004296875	chrX
6750367.50489237	3.21335927748963e-09	BREAKPOINTS	0.87634765625	chrX
7059825.80136986	3.38131284760898e-09	BREAKPOINTS	0.86134765625	chrX
7369284.09784736	3.38271617680033e-09	BREAKPOINTS	0.86126953125	chrX
7678742.39432485	3.23299395980929e-09	BREAKPOINTS	0.8747265625	chrX
7988200.69080235	2.97596299158108e-09	BREAKPOINTS	0.89626953125	chrX
8297658.98727984	2.65593191843722e-09	BREAKPOINTS	0.91748046875	chrX
8607117.28375734	2.30124842046567e-09	BREAKPOINTS	0.93689453125	chrX
8916575.58023483	1.92625296780661e-09	BREAKPOINTS	0.95291015625	chrX
9226033.87671233	1.54359268349319e-09	BREAKPOINTS	0.9647265625	chrX
9535492.17318982	1.17417828891161e-09	BREAKPOINTS	0.97212890625	chrX
9844950.46966732	8.48022808132893e-10	BREAKPOINTS	0.9776171875	chrX
10154408.7661448	5.9819402421969e-10	BREAKPOINTS	0.9812890625	chrX
10463867.0626223	4.54374058428345e-10	BREAKPOINTS	0.983203125	chrX
10773325.3590998	4.39995898108217e-10	BREAKPOINTS	0.9834765625	chrX
11082783.6555773	5.7130805451062e-10	BREAKPOINTS	0.98181640625	chrX
11392241.9520548	8.53474091523567e-10	BREAKPOINTS	0.977578125	chrX
11701700.2485323	1.27099890562718e-09	BREAKPOINTS	0.97044921875	chrX
12011158.5450098	1.77613724390663e-09	BREAKPOINTS	0.95802734375	chrX
12320616.8414873	2.28477134850689e-09	BREAKPOINTS	0.93775390625	chrX
12630075.1379648	2.68917276073364e-09	BREAKPOINTS	0.91515625	chrX
12939533.4344423	2.88879448776125e-09	BREAKPOINTS	0.9023828125	chrX
13248991.7309198	2.82539047499762e-09	BREAKPOINTS	0.9064453125	chrX
13558450.0273973	2.50811838028546e-09	BREAKPOINTS	0.92611328125	chrX
13867908.3238748	2.03194182076373e-09	BREAKPOINTS	0.94888671875	chrX
14177366.6203523	1.50422210961464e-09	BREAKPOINTS	0.96552734375	chrX
14486824.9168297	1.01842477381036e-09	BREAKPOINTS	0.97505859375	chrX
