mp	ds	type	p	chr
178554.5	2.56169722008798e-11	BREAKPOINTS	0.99900390625	chrX
485231.627201566	5.86199881889923e-11	BREAKPOINTS	0.9953125	chrX
791908.754403131	1.22607237378286e-10	BREAKPOINTS	0.99173828125	chrX
1098585.8816047	2.34690796190344e-10	BREAKPOINTS	0.98791015625	chrX
1405263.00880626	4.11527306658238e-10	BREAKPOINTS	0.98267578125	chrX
1711940.13600783	6.61375456071747e-10	BREAKPOINTS	0.9764453125	chrX
2018617.26320939	9.74225645175951e-10	BREAKPOINTS	0.968984375	chrX
2325294.39041096	1.31479873052395e-09	BREAKPOINTS	0.96005859375	chrX
2631971.51761252	1.62466942411241e-09	BREAKPOINTS	0.949296875	chrX
2938648.64481409	1.83278652506844e-09	BREAKPOINTS	0.9400390625	chrX
3245325.77201566	1.89035680421521e-09	BREAKPOINTS	0.936953125	chrX
3552002.89921722	1.79975971179789e-09	BREAKPOINTS	0.941796875	chrX
3858680.02641879	1.61066446683552e-09	BREAKPOINTS	0.94984375	chrX
4165357.15362035	1.40941477268569e-09	BREAKPOINTS	0.95701171875	chrX
4472034.28082192	1.29453312134496e-09	BREAKPOINTS	0.9605859375	chrX
4778711.40802348	1.35058482315788e-09	BREAKPOINTS	0.95892578125	chrX
5085388.53522505	1.62764582985979e-09	BREAKPOINTS	0.94916015625	chrX
5392065.66242661	2.12897822235281e-09	BREAKPOINTS	0.9230859375	chrX
5698742.78962818	2.80689078129988e-09	BREAKPOINTS	0.8765625	chrX
6005419.91682975	3.56696324863169e-09	BREAKPOINTS	0.8073046875	chrX
6312097.04403131	4.28187064138785e-09	BREAKPOINTS	0.72380859375	chrX
6618774.17123288	4.81541432488436e-09	BREAKPOINTS	0.6590234375	chrX
6925451.29843444	5.05394235495599e-09	BREAKPOINTS	0.626484375	chrX
7232128.42563601	4.9373568607061e-09	BREAKPOINTS	0.642734375	chrX
7538805.55283757	4.47852738137513e-09	BREAKPOINTS	0.699921875	chrX
7845482.68003914	3.76153217763989e-09	BREAKPOINTS	0.7852734375	chrX
8152159.8072407	2.91680100760009e-09	BREAKPOINTS	0.86759765625	chrX
8458836.93444227	2.08186040845968e-09	BREAKPOINTS	0.92599609375	chrX
8765514.06164384	1.36369898639538e-09	BREAKPOINTS	0.9584765625	chrX
9072191.1888454	8.17538880419488e-10	BREAKPOINTS	0.972578125	chrX
9378868.31604697	4.54878928765072e-10	BREAKPOINTS	0.981484375	chrX
9685545.44324853	2.33387726221686e-10	BREAKPOINTS	0.98796875	chrX
9992222.5704501	1.1054523193797e-10	BREAKPOINTS	0.992421875	chrX
10298899.6976517	4.91600880697094e-11	BREAKPOINTS	0.99634765625	chrX
10605576.8248532	2.33293312950304e-11	BREAKPOINTS	0.9998046875	chrX
10912253.9520548	1.94691825740681e-11	BREAKPOINTS	1	chrX
11218931.0792564	3.56505346759549e-11	BREAKPOINTS	0.99755859375	chrX
11525608.2064579	8.13937269451438e-11	BREAKPOINTS	0.99373046875	chrX
11832285.3336595	1.77949230919305e-10	BREAKPOINTS	0.9894921875	chrX
12138962.4608611	3.56988135943536e-10	BREAKPOINTS	0.9841015625	chrX
12445639.5880626	6.54540483169433e-10	BREAKPOINTS	0.9765625	chrX
12752316.7152642	1.09816129420217e-09	BREAKPOINTS	0.9659375	chrX
13058993.8424658	1.68924606683142e-09	BREAKPOINTS	0.94666015625	chrX
13365670.9696673	2.38775543132014e-09	BREAKPOINTS	0.90732421875	chrX
13672348.0968689	3.10965717559363e-09	BREAKPOINTS	0.8508984375	chrX
