chr	start	end	width	n	perc	BLM	RECQL5	BLM_RECQL5	WT
chr1	122217573.873418	122599499.867089	381926.993670886	158	49.84	25.9	11.4	47.5	15.2
chr1	147721929.022883	148147026.78032	425098.757437071	437	137.85	21.1	15.3	40.5	23.1
chr2	91160440.4709677	91430869.7806452	270430.309677419	155	48.9	18.1	15.5	34.8	31.6
chr2	109969229.16	110422101.4	452873.24	50	15.77	24	8	44	24
chr3	91872240.4100719	92480947.9496403	608708.539568345	139	43.85	14.4	7.9	47.5	30.2
chr4	49282938.0138889	50199910.75	916973.736111111	72	22.71	22.2	12.5	48.6	16.7
chr5	48076328.076087	48718806.4565217	642479.380434783	92	29.02	17.4	20.7	38	23.9
chr5	48076328.076087	48718806.4565217	642479.380434783	92	29.02	17.4	20.7	38	23.9
chr7	57407096.9074074	57711164.787037	304068.87962963	108	34.07	18.5	13	34.3	34.3
chr7	64186067.0636704	64418415.011236	232348.947565543	267	84.23	19.1	11.2	32.6	37.1
chr7	70236084.5454545	70428600.3636364	192516.818181818	33	10.41	9.1	3	84.8	3
chr8	6866825.09433962	7022725.88679245	155901.79245283	53	16.72	17	3.8	54.7	24.5
chr8	76099840.8703704	76221892.1851852	122052.314814815	54	17.03	63	1.9	31.5	3.7
chr9	39064195.6623377	39385388.0974026	321193.435064935	154	48.58	20.8	14.9	39	25.3
chr9	66192611.64	66722104.5142857	529493.874285714	175	55.21	20	14.9	41.1	24
chr9	130744154.416667	130819193.262821	75039.8461538462	156	49.21	19.9	17.3	46.8	16
chr10	46329616.5625	46856149.96875	526534.40625	32	10.09	21.9	12.5	34.4	31.2
chr11	49898617.3984962	50754015.1052632	855398.706766917	133	41.96	11.3	16.5	42.1	30.1
chr11	107458052.9	107508220	50168.1	20	6.31	100	0	0	0
chr12	63203576.1033708	63506759.1168539	303184.013483146	445	140.38	18.4	13.9	43.1	24.5
chr13	19015432.1078431	19054624.4117647	39193.3039215686	102	32.18	18.6	15.7	33.3	32.4
chr14	20238335.7580645	20266761.8870968	28427.1290322581	62	19.56	16.1	19.4	37.1	27.4
chr15	22157321.6384615	22262103.1615385	104782.523076923	130	41.01	15.4	16.2	40	28.5
chr15	60807916.1825397	60833555.4761905	25640.2936507937	126	39.75	18.3	17.5	41.3	23
chr15	73340387.0657277	73404442.7676056	64056.7018779343	426	134.38	19.5	16.2	40.8	23.5
chr15	89258621.5263158	89286561.6403509	27941.1140350877	114	35.96	16.7	18.4	39.5	25.4
chr16	22029760.5679012	22136118.5967078	106359.028806584	243	76.66	16.9	11.5	43.6	28
chr16	33770425.8626609	34105004.5708155	334579.708154506	233	73.5	21.5	14.2	41.6	22.7
chr16	46431268.3670886	46523088.721519	91821.3544303798	237	74.76	20.7	15.2	41.8	22.4
chr17	26917189.6243386	27111767.2116402	194578.587301587	189	59.62	17.5	15.3	32.3	34.9
chr18	19441126.75	21079577.8333333	1638452.08333333	12	3.79	8.3	0	66.7	25
chr19	3614302.10714286	3650253.57142857	35952.4642857143	28	8.83	10.7	3.6	85.7	0
chr19	24946132.2424242	26207226.5909091	1261095.34848485	66	20.82	15.2	24.2	40.9	19.7
chr20	28666158.7634409	29183163.0295699	517005.266129032	372	117.35	15.6	16.1	42.5	25.8
chr21	12302578.3823529	12776290.0420168	473712.659663866	238	75.08	21	15.5	38.2	25.2
chr22	16155539.3220339	16274947.6271186	119409.305084746	59	18.61	10.2	16.9	32.2	40.7
chr22	23325300.5804196	23350843.8671329	25544.2867132867	143	45.11	20.3	16.1	46.9	16.8
chrX	104046071.058824	104294098.647059	248028.588235294	34	10.73	26.5	5.9	55.9	11.8
chrX	152463165.45	152682133.4	218968.95	60	18.93	13.3	23.3	46.7	16.7
