seqnames start end CI.start CI.end genoT filenames
chr1 119754201 120511143 119459435 147925564 cc-wc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.1
chr1 150807319 150855839 145985261 150891397 wc-cc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.2
chr4 108740661 108801153 107685021 110079010 cc-ww blm-1-single-c10-w11_.trimmed.mdup.bam.RData.3
chr5 25968170 26171264 24150990 27829011 cc-ww blm-1-single-c10-w11_.trimmed.mdup.bam.RData.4
chr8 77252201 77573646 77079306 77820807 wc-cc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.5
chr9 130790954 130834025 130081981 131058900 wc-cc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.6
chr12 54033307 54147633 53226409 54867013 ww-cc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.7
chr15 72579039 72684835 72518587 72896111 cc-wc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.8
chr15 74820632 74910294 73342822 75008707 wc-cc blm-1-single-c10-w11_.trimmed.mdup.bam.RData.9
chr22 23259671 23436650 22163103 24318440 cc-ww blm-1-single-c10-w11_.trimmed.mdup.bam.RData.10
chr1 119699155 120355000 119484708 120664337 ww-wc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.1
chr1 149065510 149919417 146244976 150044018 wc-ww blm-1-single-c10-w15_.trimmed.mdup.bam.RData.2
chr5 57456621 57483858 56805810 57990047 ww-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.3
chr5 162757673 162798558 162000276 163479792 cc-ww blm-1-single-c10-w15_.trimmed.mdup.bam.RData.4
chr6 94812709 94870239 94439195 95588057 cc-ww blm-1-single-c10-w15_.trimmed.mdup.bam.RData.5
chr7 40755061 40776037 40162790 41248411 cc-ww blm-1-single-c10-w15_.trimmed.mdup.bam.RData.6
chr8 81923592 81924933 81870758 81986770 ww-wc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.7
chr8 136051928 136057357 135987514 136107142 wc-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.8
chr9 130801327 130825582 130311125 130907147 cc-ww blm-1-single-c10-w15_.trimmed.mdup.bam.RData.9
chr11 21252904 21265606 20667087 21890632 ww-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.10
chr12 53496192 53503619 52891685 54055395 ww-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.11
chr15 63506767 63533441 63445798 63738608 cc-wc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.12
chr15 72571934 72677915 72535372 72748420 wc-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.13
chr15 74359038 74424732 74294236 74459056 cc-wc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.14
chr15 89041892 89071684 89031017 89112457 wc-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.15
chr16 78364530 78372193 77921891 78436621 ww-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.16
chr17 26805472 26881042 26603886 26936410 ww-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.17
chr17 26885821 27487054 26861353 27974244 cc-ww blm-1-single-c10-w15_.trimmed.mdup.bam.RData.18
chr20 24986746 26583153 24927586 28822541 cc-wc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.19
chr20 30840183 31567439 29893247 31651566 wc-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.20
chr21 14147806 14156329 10469372 14236974 wc-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.21
chr22 23289324 23293730 22654385 23832624 ww-cc blm-1-single-c10-w15_.trimmed.mdup.bam.RData.22
chr1 121618430 122519358 121453347 122669822 ww-wc blm-1-single-c10-w19_.trimmed.mdup.bam.RData.1
chr1 125116329 125178966 124480017 143677199 wc-ww blm-1-single-c10-w19_.trimmed.mdup.bam.RData.2
chr1 146004308 146371755 145240703 147232500 ww-cc blm-1-single-c10-w19_.trimmed.mdup.bam.RData.3
chr1 148863437 149364262 148402404 150113561 cc-ww blm-1-single-c10-w19_.trimmed.mdup.bam.RData.4
